,id,amount_tsh,gps_height,region_code,district_code,population,public_meeting,permit,construction_year,extraction_type_class,management_group,payment_type,quality_group,quantity_group,source_class,waterpoint_type_group,status_group
44309,42672,0.0,0,17,5,490,1,0,1992,2,0,3,0,2,0,1,2
34574,35986,0.0,0,17,3,788,1,1,1994,2,0,1,0,1,0,1,2
17142,331,0.0,1074,5,1,132,1,1,1997,2,0,1,0,0,0,1,2
24920,22723,0.0,0,12,2,749,1,1,2004,0,0,4,0,2,1,0,0
44040,68325,0.0,0,14,2,804,1,0,1995,1,0,1,0,0,1,2,0
13713,65394,0.0,0,14,2,359,1,0,2001,2,0,1,1,1,0,1,0
23799,55622,0.0,0,12,3,665,1,1,1989,0,0,6,0,2,0,0,0
9037,74110,500.0,858,10,5,96,1,1,1993,0,0,6,0,0,1,0,0
31124,26254,0.0,1149,20,4,180,1,0,1998,3,0,4,1,0,0,2,0
35320,9847,0.0,1103,15,1,100,1,1,1987,0,2,1,0,0,0,0,1
55454,58238,100.0,1056,16,3,750,1,1,2006,0,0,6,0,0,1,0,1
56237,8538,0.0,0,12,6,636,1,1,2006,0,0,1,0,0,0,2,2
54818,55039,1000.0,675,10,1,1,1,0,2001,2,0,0,0,0,0,1,2
23546,12129,0.0,0,17,1,658,1,0,2003,2,0,1,0,0,0,1,2
5351,33511,3000.0,1622,15,3,600,1,0,1995,2,0,0,0,0,0,1,2
56537,66924,0.0,1876,4,1,1,1,1,1998,0,0,1,0,0,0,0,2
49011,38501,0.0,1328,17,1,600,1,0,1997,2,0,1,0,0,0,1,1
46315,34552,0.0,0,17,2,739,1,0,1993,2,0,1,5,2,0,1,0
13302,68194,0.0,0,14,4,286,1,1,2008,2,0,1,4,1,0,1,2
16931,24482,0.0,0,17,5,281,1,1,2004,2,0,3,0,1,0,1,0
9292,7258,0.0,0,1,6,380,1,1,1997,3,0,1,0,0,0,2,0
42964,73729,0.0,1581,13,2,1,1,0,1980,4,0,3,5,4,0,0,0
32584,74108,0.0,0,17,2,589,1,0,1990,3,0,3,0,3,1,0,0
25768,68811,50.0,91,6,2,1,0,1,2004,4,2,2,0,0,1,0,2
13437,50954,0.0,1332,2,6,600,1,0,2010,0,3,1,0,1,0,0,2
41809,62500,0.0,1741,4,1,1,1,1,1985,0,0,1,0,0,0,0,2
6676,52039,10.0,1182,3,5,150,1,1,1999,0,0,2,0,0,0,0,2
28338,63468,0.0,1185,20,3,350,0,1,1987,0,0,1,0,0,1,0,0
17958,24368,0.0,373,8,3,407,1,0,1985,3,0,1,5,2,0,2,0
22856,28223,0.0,1240,16,2,230,1,0,2011,3,2,1,0,0,1,0,2
20626,2340,0.0,609,90,33,1,1,0,2012,1,0,3,0,0,0,0,0
15303,24237,0.0,941,10,2,475,1,1,1978,0,0,4,0,0,1,0,1
34123,23365,0.0,0,18,4,808,1,1,1985,2,0,1,0,3,0,1,0
7737,21901,500.0,1591,11,4,75,1,1,1978,0,0,6,0,0,1,0,2
48849,27073,0.0,1538,13,2,1,1,0,1970,4,0,3,5,2,0,0,0
7894,55607,0.0,0,17,3,531,1,1,1984,0,0,2,0,0,0,0,0
3469,65231,0.0,0,1,1,825,1,0,2000,0,0,1,0,0,0,0,2
11234,13551,0.0,0,18,1,715,1,1,2004,0,0,1,0,2,0,0,0
42194,31391,0.0,222,5,3,500,1,1,2007,1,0,1,0,1,0,0,0
29900,45808,50.0,1391,2,3,960,0,0,2000,1,0,2,0,1,0,0,2
14202,45699,0.0,1663,2,2,150,1,1,1990,0,0,1,0,1,0,0,2
15929,13312,1500.0,1575,3,3,420,1,1,1997,0,0,0,0,1,0,0,2
33626,52219,30.0,74,60,43,1,1,0,2010,1,0,2,0,0,0,0,2
32890,7687,5.0,1384,3,5,15,1,1,2006,0,0,2,0,0,0,0,2
47547,19525,10.0,810,3,4,15,1,1,2001,0,0,2,0,0,0,0,2
44454,16211,6000.0,-16,9,5,530,1,0,2005,2,0,6,1,1,0,1,1
52471,18048,0.0,0,12,4,701,1,0,1999,0,2,3,0,0,0,0,0
39609,1966,10.0,1226,3,5,115,1,1,1999,0,0,2,0,0,0,0,2
26803,9960,0.0,1409,2,7,78,1,1,2012,0,0,3,0,0,0,0,2
1797,74103,0.0,0,12,6,751,0,0,1996,2,0,4,0,0,0,1,2
30396,72891,0.0,0,12,4,815,1,0,1992,0,2,3,0,0,1,0,0
37363,41419,0.0,0,17,1,700,0,0,1999,3,0,3,5,2,0,2,0
28916,55943,2400.0,1636,11,2,641,1,1,1994,0,0,0,0,0,0,0,2
23701,63408,0.0,0,14,1,594,0,0,1984,2,0,1,0,3,0,1,2
26833,9705,0.0,0,18,1,699,1,1,1995,0,0,1,0,0,0,0,2
11853,14178,250.0,1281,16,2,750,1,1,2001,0,0,6,0,0,1,0,2
51270,49126,0.0,36,7,2,200,0,0,2000,3,0,1,0,0,0,2,0
12808,70563,0.0,264,5,3,200,1,1,1976,1,0,1,0,1,0,0,0
36795,5346,0.0,320,90,33,1,1,1,1980,3,0,3,1,2,0,2,0
32373,18450,0.0,2109,11,5,650,1,0,2000,0,0,1,0,2,0,0,0
51511,19969,500.0,672,3,3,50,1,1,2012,0,0,6,0,1,0,0,2
43314,69143,0.0,272,80,53,590,1,1,1980,3,0,1,1,1,0,2,0
31154,34813,10.0,-31,9,5,430,1,1,1988,1,0,2,0,3,0,0,2
17892,44605,0.0,0,17,6,538,1,1,1998,1,2,1,0,0,1,0,1
20925,32244,0.0,1234,21,1,320,1,1,2012,0,0,1,0,0,1,0,2
11702,61517,0.0,1377,16,1,350,1,0,2006,2,0,3,4,0,0,1,0
56002,39314,1000.0,278,5,4,570,1,1,2010,2,0,6,0,0,0,1,0
34988,25308,0.0,1403,13,1,771,1,1,2011,0,3,1,0,3,1,0,2
10294,56637,0.0,0,14,5,652,0,1,1996,3,1,1,0,0,1,0,2
30213,28443,0.0,1469,13,1,480,1,1,1995,2,0,6,0,1,0,1,2
29903,2120,0.0,872,3,4,1,0,0,1963,0,0,3,0,1,0,2,0
14098,31441,12000.0,1024,10,2,1000,1,1,2002,0,0,0,0,0,1,0,2
380,67634,1500.0,701,3,2,400,1,1,2009,1,0,6,0,1,0,0,2
49564,20225,0.0,28,80,13,496,1,1,1997,2,0,1,1,0,0,1,2
56214,28192,0.0,2252,11,3,779,1,0,2002,0,0,1,0,0,0,0,2
2683,44036,0.0,0,14,3,817,1,1,2008,4,0,1,0,0,0,0,0
33100,4951,0.0,1341,20,2,250,0,0,1995,2,0,1,1,1,0,1,2
2659,9593,10.0,1483,13,4,84,1,1,2004,2,0,2,0,0,0,1,2
16877,73252,0.0,1375,20,2,2400,1,0,2004,2,0,1,0,0,0,1,0
6698,60782,0.0,1328,17,1,600,1,0,2006,0,3,1,0,3,1,0,2
4558,58136,0.0,7,80,13,269,0,1,2012,3,0,1,0,0,0,2,0
41503,45259,0.0,0,14,2,346,1,0,1994,1,0,1,0,0,1,0,0
58816,68937,0.0,272,5,3,200,1,1,1981,0,0,1,0,0,1,0,0
13953,31776,15000.0,1448,10,3,116,1,1,2008,0,0,4,0,0,0,3,2
39901,48823,0.0,1303,20,2,445,0,0,1995,0,1,1,0,1,1,0,1
8073,32879,0.0,1389,3,3,50,1,1,2009,0,0,1,0,0,1,0,0
3880,9878,6000.0,1492,2,7,150,1,1,2007,0,0,0,3,0,0,0,2
12588,32522,0.0,144,80,13,1,1,0,2012,2,0,1,0,0,0,1,2
8259,34181,0.0,0,14,1,363,1,0,1984,2,0,1,0,0,0,1,2
17888,65742,0.0,1316,13,3,150,1,0,1974,5,0,1,1,0,0,0,0
3892,66935,0.0,0,6,4,300,1,0,2007,2,0,1,0,3,0,1,2
56517,44080,0.0,0,14,6,782,1,1,2008,4,0,1,0,2,0,0,0
26348,39933,20.0,1712,21,3,218,1,1,2006,4,0,2,0,0,0,0,2
37893,222,300.0,1446,13,1,325,1,1,2004,2,0,4,0,0,0,1,0
15253,555,0.0,466,5,1,150,1,1,2005,3,0,1,0,0,0,2,1
27920,23918,0.0,0,17,7,659,0,0,1999,2,0,3,1,1,0,1,2
25670,36092,500.0,1510,11,4,90,1,1,1978,0,0,6,0,0,1,0,1
16291,11355,33.0,716,3,4,350,1,1,2008,1,0,2,0,0,0,0,2
15369,22311,30.0,982,2,2,150,1,1,1980,0,0,2,0,1,0,0,2
18595,66883,0.0,0,14,4,689,1,1,2004,2,0,1,5,2,0,1,0
10785,35415,0.0,1776,11,4,250,1,0,1976,0,0,1,0,0,0,0,0
51918,27454,1000.0,1419,11,1,1,1,1,1986,0,0,6,0,0,0,0,2
44746,45740,0.0,1506,13,2,1,1,0,1980,3,0,3,5,2,0,2,0
47773,48766,5.0,1424,3,4,20,0,1,2007,0,0,2,0,0,1,0,2
39063,65460,50.0,-5,6,1,15,0,1,2009,1,2,2,0,0,1,0,0
54245,28186,0.0,0,1,1,553,1,0,1988,4,2,2,0,0,0,0,2
44221,50857,1000.0,1903,11,2,536,1,1,2000,2,0,0,0,0,0,1,2
5682,59328,0.0,0,1,5,319,1,0,1990,4,2,2,1,2,0,0,0
52504,36437,50.0,-4,99,1,150,1,1,2004,1,0,2,0,0,0,0,2
7776,2110,0.0,1279,20,2,90,1,1,1999,2,0,1,1,0,0,1,2
48978,23774,0.0,0,17,7,421,0,0,2008,2,0,3,1,0,0,1,2
56564,54503,25.0,1080,24,30,280,1,1,2006,1,0,2,0,0,0,0,2
32761,57062,0.0,1170,3,7,1,1,1,2002,0,0,6,0,0,0,0,2
15301,55041,0.0,1408,2,7,360,1,1,2010,0,0,3,0,0,0,0,2
41111,29555,0.0,1282,2,2,150,1,1,2011,0,0,1,0,0,0,0,2
53835,51491,0.0,1002,10,2,646,1,1,1978,0,0,4,0,0,1,0,2
21923,60618,100.0,345,8,3,230,1,0,2008,4,0,2,5,2,0,0,0
28394,55904,0.0,0,18,4,619,1,1,2008,0,0,1,0,3,1,0,0
42541,19214,0.0,1614,4,1,1,1,1,1989,0,0,1,0,0,0,0,2
18334,54230,20.0,1059,3,3,250,1,1,2007,0,0,2,0,1,0,0,2
57505,53250,0.0,997,10,2,772,1,1,2009,0,0,1,0,2,1,0,0
34093,49262,0.0,554,10,3,60,0,1,2008,0,0,1,0,2,0,0,0
58679,9786,0.0,961,2,2,300,1,1,2004,0,0,1,0,1,0,2,0
34684,15301,0.0,0,1,6,585,1,1,1995,2,0,2,0,0,0,1,0
24689,47160,0.0,1222,2,5,150,1,1,1973,0,0,1,0,0,0,0,0
57826,30409,0.0,1014,15,1,60,0,1,1978,0,2,1,0,0,0,0,0
28845,64157,1000.0,1423,13,1,345,1,1,1990,2,0,4,1,0,0,1,2
15739,58374,500.0,1704,11,4,75,1,1,1978,0,0,6,0,3,1,0,2
11317,36395,0.0,238,5,3,250,1,1,1984,0,0,1,0,1,1,0,1
12920,14494,0.0,227,9,4,1,1,1,1982,1,0,1,0,2,0,0,0
9938,4849,0.0,0,17,6,641,1,1,1987,0,3,1,0,3,1,0,2
50522,8226,2000.0,970,10,2,686,1,1,1990,2,0,4,0,3,0,1,2
10153,39868,1200.0,1100,11,3,799,1,1,1990,0,0,0,0,0,0,0,2
58254,17536,12000.0,1689,3,1,1,1,1,2009,0,2,6,0,1,0,0,2
30047,19284,0.0,0,1,3,675,1,0,2005,1,0,2,1,2,0,0,0
7494,17238,0.0,1716,4,1,1,1,1,2000,0,0,1,0,0,0,0,2
49067,48248,0.0,0,14,4,486,1,1,1989,2,0,1,0,1,0,1,2
7365,37405,0.0,2391,11,3,596,1,0,2010,0,0,1,0,0,0,0,2
41709,61624,0.0,1227,20,6,860,1,0,1993,2,0,3,0,0,0,1,2
52112,45340,0.0,195,4,3,781,1,0,1997,3,0,1,2,2,0,2,0
17575,34439,0.0,1241,4,1,1,1,1,1981,0,0,1,0,0,0,0,0
25546,53300,50.0,1636,21,2,356,1,1,2010,1,0,2,1,2,1,1,0
18193,41803,0.0,1629,2,2,200,1,1,2010,0,0,1,0,0,0,0,2
57871,66045,0.0,0,12,6,759,0,0,1998,2,0,1,0,0,0,1,0
54234,46011,2000.0,1676,15,3,400,1,0,1983,2,0,0,0,0,0,1,2
39983,33486,0.0,1264,2,7,98,1,1,2011,0,0,3,0,0,0,0,2
6070,42799,0.0,359,5,2,1,1,1,2005,2,0,1,4,1,0,1,0
28799,3543,0.0,7,80,13,353,1,1,1985,3,0,1,1,1,0,2,0
35305,56379,0.0,0,17,8,633,0,1,1985,0,0,3,0,2,1,2,0
26381,16367,1200.0,783,10,2,225,1,1,1993,0,0,0,0,0,1,0,2
23686,53664,0.0,202,9,4,1,1,1,1982,1,0,1,0,2,0,0,0
51788,48311,0.0,1674,11,4,40,1,0,2009,0,0,1,0,1,0,0,2
25471,58498,7.0,1394,3,5,60,1,1,2008,0,0,2,0,0,0,0,2
7482,55311,0.0,0,18,4,662,1,1,1997,0,0,1,0,3,1,0,2
18540,64993,0.0,1155,3,7,1,1,1,2002,0,0,6,0,0,0,0,2
21548,34972,0.0,1327,4,1,1,1,1,1981,0,0,1,0,0,0,0,2
40356,46344,0.0,0,17,1,563,0,0,1994,3,0,3,0,0,0,2,0
28187,65829,0.0,1451,3,4,1,0,1,1972,0,1,1,0,1,1,2,0
7577,39859,5000.0,1294,16,2,350,1,0,1995,3,0,4,0,0,0,3,1
35602,668,1000.0,1609,11,1,1,1,1,1983,0,0,6,0,0,0,0,2
54910,1696,0.0,0,17,6,489,1,1,2000,2,0,1,0,1,0,1,2
54978,59461,0.0,1463,13,1,215,1,1,1989,3,0,1,0,0,0,2,0
44601,71755,1200.0,906,10,2,597,1,1,2000,0,0,0,0,0,1,0,2
27311,42587,0.0,1249,16,2,75,1,0,2002,3,2,3,0,0,1,0,2
45899,70274,0.0,0,4,7,1,1,0,2011,3,0,1,5,4,0,2,0
23962,57388,0.0,1559,4,1,1,1,1,1990,3,0,1,0,0,0,1,0
50933,49832,0.0,0,19,6,639,1,1,1988,2,0,1,0,1,0,1,2
58955,51399,0.0,0,12,4,633,1,0,2007,0,0,3,0,2,0,0,0
54904,52589,0.0,0,18,4,756,1,1,1996,3,0,1,0,0,0,2,0
31594,13005,0.0,0,17,2,644,1,0,1989,2,0,3,0,0,0,1,0
10863,9461,0.0,1362,2,7,80,1,1,2006,0,0,3,3,1,0,0,0
8081,59913,0.0,354,5,2,150,1,1,1996,3,0,1,0,3,0,2,0
53438,43288,50.0,748,4,6,60,1,0,2006,1,0,2,0,1,1,0,2
35578,27041,0.0,0,19,7,567,0,1,1993,2,0,1,0,1,0,1,0
39947,66611,0.0,972,10,5,300,1,1,2011,0,3,1,0,3,1,0,2
3762,64248,0.0,1464,13,4,1,1,1,2011,2,0,1,1,0,0,1,2
24756,35816,0.0,0,14,1,318,0,0,2001,2,0,1,0,1,0,1,2
11299,1541,50.0,13,4,5,20,0,0,2010,1,2,2,1,0,0,0,2
8268,65851,50.0,18,7,2,200,0,0,2000,1,0,2,0,0,0,0,2
54733,68232,2000.0,1115,11,1,1,1,1,1989,0,0,0,0,0,0,0,2
30403,30717,5000.0,610,10,1,1,1,0,2003,2,0,0,0,1,0,1,2
22236,43480,200.0,0,5,1,250,1,1,1999,3,0,6,0,3,0,2,0
28991,17007,0.0,1317,13,1,245,1,1,1986,3,0,1,0,0,0,2,0
1033,1408,0.0,847,16,4,322,0,1,1973,3,0,1,0,2,1,0,0
54232,36082,500.0,307,5,4,1,1,1,2007,2,0,6,0,0,0,1,2
33267,68681,0.0,0,14,1,321,0,1,2001,2,0,1,0,0,0,1,2
40800,49246,0.0,0,19,8,392,1,1,1991,2,0,1,0,1,0,1,1
32275,37262,0.0,0,17,2,350,1,0,1986,0,0,3,0,3,1,0,1
56434,48797,0.0,8,80,23,453,0,0,2011,2,0,1,0,1,0,1,2
17278,22901,0.0,0,19,6,470,1,1,2004,1,0,3,5,2,1,2,2
14415,9577,0.0,1487,4,1,1,1,1,2007,0,0,1,0,0,0,0,2
41677,68262,250.0,2327,11,3,328,1,0,1986,0,0,6,0,0,0,0,2
50977,48619,0.0,1407,20,2,150,1,0,1999,2,0,1,0,1,0,1,2
28850,53573,0.0,1642,11,4,40,1,0,2006,0,0,6,0,0,0,0,2
38400,4208,0.0,1320,16,1,130,1,0,2002,0,0,3,0,1,0,3,2
15312,45184,0.0,296,90,33,1,1,1,1985,3,0,3,0,2,0,2,0
32990,56899,0.0,0,1,5,755,1,0,1993,4,2,2,0,2,0,0,0
3839,13163,0.0,1239,20,3,320,0,1,1989,0,0,3,0,0,0,0,0
40409,53326,30.0,380,4,6,200,1,1,2000,1,0,2,0,1,0,0,0
11450,17432,0.0,0,19,6,818,1,1,2002,0,0,3,5,2,1,2,0
23384,17060,0.0,36,60,43,536,1,0,2010,3,0,1,0,2,0,2,0
12528,16648,0.0,0,17,7,766,0,0,1989,2,2,3,0,1,0,1,2
13119,61991,300.0,1333,3,2,40,1,0,2007,0,0,6,0,1,0,0,2
44849,3464,500.0,1621,11,5,450,1,0,1995,0,0,0,0,0,0,0,2
38890,4955,0.0,1326,16,1,80,1,0,2003,0,0,3,0,1,0,3,2
38312,45432,0.0,312,5,3,300,1,1,2003,2,0,1,0,1,0,1,2
29936,65318,250.0,1672,16,2,523,1,0,2001,3,0,6,0,0,0,3,2
28830,52179,0.0,0,18,1,391,1,1,1999,0,0,1,0,2,0,0,0
54075,21196,0.0,1121,3,1,1,1,1,2007,0,2,6,0,1,0,0,0
17668,9197,0.0,330,5,6,1,0,1,2007,1,0,1,0,1,0,0,0
32268,34050,0.0,0,17,6,566,1,1,1993,0,3,1,0,2,1,0,0
5408,15798,20.0,804,3,6,30,1,1,2008,0,2,2,0,1,0,0,2
52427,34944,0.0,0,12,3,521,1,1,1987,0,0,6,0,2,0,0,0
43513,46166,0.0,0,17,8,797,0,0,1992,0,3,3,0,3,1,2,0
19187,32580,0.0,1927,11,4,30,1,1,2010,0,0,4,0,0,0,0,2
29718,73464,0.0,0,14,1,654,0,0,2008,3,0,1,0,0,0,2,0
59192,15982,2500.0,1503,11,4,35,1,1,2010,0,0,0,0,0,0,0,2
51844,29752,500.0,2014,11,4,79,1,1,2008,0,0,6,0,0,0,0,2
54971,25106,0.0,1644,2,2,50,1,1,2000,0,0,1,0,0,1,0,2
5460,57297,0.0,1093,3,1,1,1,1,1975,0,2,6,0,0,0,0,0
42859,44999,0.0,0,18,30,474,1,0,1992,2,0,1,0,0,0,1,2
26975,39267,0.0,0,14,1,350,1,0,2002,2,0,4,2,0,0,1,2
8573,66124,0.0,475,10,3,512,0,1,2012,0,3,3,0,0,0,0,2
36307,42348,0.0,1497,11,4,56,1,1,2010,0,0,4,0,0,1,0,2
39435,59309,250.0,1379,16,2,540,1,1,2006,0,0,6,0,0,1,0,2
20900,23846,0.0,0,14,5,434,1,1,1999,2,0,1,1,0,0,1,2
8587,22583,0.0,467,10,3,1,0,1,1968,3,0,3,0,2,2,2,0
33440,12451,0.0,1120,2,2,150,1,1,1988,0,0,1,0,0,0,2,2
36562,50165,0.0,0,1,6,780,1,1,1996,4,0,2,0,0,0,0,2
51445,42056,200.0,262,5,3,100,1,1,2003,0,0,6,0,1,1,0,2
30598,59570,0.0,1270,3,7,1,1,1,2009,0,0,6,0,0,0,0,2
2355,32111,0.0,1479,13,1,204,1,1,1989,2,0,1,0,1,0,1,0
15226,53098,20.0,0,4,8,600,1,1,1996,2,0,2,0,0,2,1,2
7472,10373,0.0,0,17,5,462,1,1,2000,2,0,3,0,1,2,1,2
27552,29410,10.0,1468,24,30,600,1,1,1994,0,0,2,0,3,1,0,2
52806,47410,0.0,0,12,7,743,1,1,2008,0,0,6,0,1,1,0,0
9679,44637,0.0,843,3,4,1,0,1,1975,0,0,3,0,1,0,2,0
30444,67465,500.0,1663,11,5,1,1,1,1992,0,0,0,0,0,0,0,2
57732,62483,0.0,0,19,8,700,1,1,1995,2,0,6,0,1,0,1,2
50873,70676,0.0,0,1,4,569,1,1,2003,3,0,1,0,1,1,0,2
52724,53394,0.0,305,80,53,756,1,0,2002,0,3,1,0,3,1,0,0
46856,43545,0.0,2004,11,4,9,1,1,2002,0,0,1,0,0,0,0,2
15582,4978,0.0,161,5,2,60,1,1,2000,0,0,1,0,3,1,0,0
26538,26091,0.0,1180,16,2,2100,1,0,1994,2,0,1,0,0,0,1,2
52443,16085,0.0,1027,10,4,1200,0,1,2010,2,1,1,0,0,0,1,2
734,64333,50.0,1549,13,1,245,1,1,2008,4,0,2,0,1,0,0,2
38192,45742,0.0,0,17,2,382,1,0,2002,2,0,4,0,0,0,1,2
338,29513,200.0,293,5,3,300,1,1,1984,2,0,6,0,1,0,1,2
40449,37813,0.0,0,18,30,656,1,0,2004,0,0,1,0,0,0,0,2
36862,10151,0.0,1642,15,2,2000,1,1,1993,0,0,1,0,0,1,0,2
20585,67198,0.0,1027,10,5,900,1,0,1989,2,0,4,0,1,0,1,2
52680,32630,0.0,363,90,33,1,1,1,1977,0,0,1,0,2,0,2,0
37783,33202,0.0,286,5,3,250,1,1,1980,0,0,1,0,1,1,0,2
19755,28107,0.0,1185,15,1,1,1,1,1985,2,2,1,0,0,0,1,0
9820,2737,600.0,830,16,3,600,1,1,2009,0,0,6,0,0,1,0,0
10732,64363,8000.0,1484,10,2,285,1,1,1997,1,0,0,0,0,1,0,2
13118,60621,0.0,1275,16,1,350,1,0,2002,0,0,3,0,1,0,3,2
26162,16962,4000.0,1155,15,1,230,1,1,1988,2,0,0,0,0,0,1,0
49569,37455,0.0,1394,15,1,130,1,1,1983,3,2,1,0,0,0,1,0
27350,50455,0.0,526,3,3,210,1,1,1994,0,0,1,0,0,1,0,0
58677,33731,0.0,1837,15,3,500,0,0,2004,2,0,1,0,0,0,1,2
56140,36780,0.0,414,80,53,125,0,1,1974,0,1,3,0,1,0,0,0
36723,39277,0.0,0,17,3,383,1,1,1994,3,0,1,0,1,0,2,0
2984,49345,2400.0,911,11,1,1,1,1,2001,0,0,0,0,2,0,0,0
20543,2946,0.0,1983,21,3,185,1,1,1998,2,0,1,0,0,0,1,2
31683,5083,0.0,0,12,4,655,1,0,1985,0,0,1,0,0,0,0,2
16471,62633,500.0,1720,11,4,35,1,0,2008,0,0,6,0,0,0,0,2
38870,68932,0.0,864,10,2,350,1,1,1983,0,0,1,0,2,1,0,0
18870,56757,0.0,0,4,7,1,1,0,2010,2,0,1,0,4,0,1,0
3381,298,200.0,648,5,1,50,1,1,2008,0,0,6,0,0,1,0,2
55816,32309,0.0,1559,16,2,2500,1,0,2011,0,0,1,0,0,0,0,2
58912,41054,0.0,0,14,1,505,0,0,2004,2,0,1,0,3,0,1,2
29904,20656,0.0,0,14,2,614,1,1,1991,0,0,2,0,0,1,0,0
10374,5617,0.0,1557,11,1,1,1,1,2008,0,0,1,0,0,0,0,2
2228,15745,0.0,0,12,4,514,1,0,1998,0,0,0,0,0,0,0,2
32300,33895,0.0,1170,3,4,1,1,1,1983,0,0,1,0,1,0,0,0
2117,32487,0.0,0,12,6,447,1,1,1996,0,0,4,0,1,1,0,2
46824,59477,0.0,0,12,2,634,0,0,1987,0,0,4,0,0,1,0,1
35640,27075,0.0,0,12,6,603,1,0,1994,2,0,4,0,0,0,1,2
22456,50200,20000.0,1542,2,2,300,1,1,1995,0,0,6,0,0,0,0,2
220,30257,0.0,1620,13,2,30,1,0,2010,3,0,1,0,1,1,0,2
50267,6630,0.0,-22,6,6,500,1,0,1984,2,0,1,1,0,0,1,2
36753,71414,0.0,0,12,4,759,1,0,1987,0,0,1,0,1,1,0,1
33307,28429,20.0,-15,6,1,25,1,0,2009,2,0,2,0,0,0,1,2
22922,12676,0.0,0,18,3,536,1,1,1998,1,0,1,0,0,0,0,0
46993,189,0.0,0,19,4,318,1,1,1995,2,0,1,0,0,0,1,2
36489,32286,500.0,349,5,4,256,1,1,1996,2,0,6,0,0,0,1,2
21507,60799,0.0,-8,60,60,10,1,0,2005,1,0,1,0,0,0,0,2
2778,50186,500.0,1616,11,4,80,1,0,2009,2,0,4,0,0,0,1,2
42396,7316,1000.0,1204,16,3,500,1,1,2005,2,0,0,0,0,0,1,2
25168,4860,0.0,350,60,33,500,1,0,1985,0,0,1,0,1,1,0,0
53273,33237,0.0,0,18,30,547,1,0,2003,2,0,1,0,0,0,1,2
36093,3705,250.0,1408,16,2,520,1,1,1996,0,0,6,0,0,1,0,1
57116,67477,1000.0,1609,11,1,1,1,1,1984,0,0,6,0,2,0,0,2
42051,21236,50.0,327,90,63,120,1,1,2009,2,0,2,1,3,0,1,2
43460,30281,5000.0,1582,16,2,385,1,0,1991,0,0,3,0,0,0,3,2
24892,12331,0.0,182,6,1,4000,1,0,1998,2,0,1,1,1,0,1,0
7135,68115,0.0,386,5,6,1,1,1,1982,3,0,1,1,1,0,2,0
54704,61816,0.0,151,99,1,600,1,1,1978,1,0,3,0,0,0,0,0
18934,37608,1000.0,1539,13,2,100,1,0,1990,2,0,0,0,1,0,1,2
20938,9595,0.0,1419,3,2,140,1,0,1982,0,0,1,0,1,1,2,0
38704,3769,20.0,-22,6,1,70,1,0,2011,1,0,2,0,0,0,0,2
9029,18602,0.0,0,12,3,687,1,1,1984,0,0,1,0,2,0,0,0
23198,52899,0.0,1572,11,2,293,1,1,1995,2,0,1,0,0,0,1,0
50218,67043,500.0,1282,10,3,160,0,1,2000,0,0,6,0,0,0,0,2
51978,38257,0.0,1157,20,4,500,0,0,2009,3,3,3,0,4,1,2,0
50077,56629,0.0,0,12,3,764,1,1,1993,0,0,1,0,2,0,0,0
58151,33482,0.0,0,17,3,330,1,1,1995,2,0,3,2,3,0,1,0
24546,28343,0.0,51,60,43,1265,1,0,2008,1,0,1,0,0,0,0,2
2170,24809,0.0,0,17,3,595,1,1,1991,3,0,3,2,2,0,2,0
30574,13670,0.0,1224,3,3,95,1,1,2010,0,0,1,0,1,0,0,1
12890,42954,500.0,1511,11,4,80,1,1,1978,0,0,6,0,3,1,0,2
14631,32939,0.0,310,5,1,36,1,1,2011,0,0,4,0,0,1,0,2
55420,58120,0.0,0,12,6,621,1,0,2000,2,0,4,0,0,0,1,2
3777,16238,0.0,0,1,4,450,1,1,1987,1,0,2,0,1,0,0,2
55114,16934,0.0,0,17,3,841,1,1,2007,3,0,3,2,0,0,2,2
1710,67291,0.0,1465,3,4,1,1,1,2000,0,0,6,0,0,0,0,2
46154,68923,0.0,985,2,2,300,1,1,1978,0,0,3,0,1,0,0,2
2459,54167,10.0,1298,24,30,400,1,1,1994,0,0,2,0,3,1,0,0
6344,62721,0.0,0,12,3,795,1,1,1991,0,0,6,0,0,0,0,2
15835,49464,0.0,0,18,7,801,1,1,2007,2,0,1,4,1,0,1,2
18347,45238,0.0,0,17,1,288,1,0,1999,2,0,3,0,0,0,1,1
22477,23994,0.0,0,4,8,75,1,1,1994,2,0,1,1,0,0,1,0
56300,33058,1000.0,1039,10,2,350,1,1,2009,0,0,0,0,0,1,0,2
46522,51884,300.0,878,3,2,40,1,0,1992,0,0,6,0,0,0,0,1
22144,68294,0.0,330,90,63,88,1,1,1999,2,0,1,3,0,0,1,0
34566,2506,0.0,0,17,8,843,1,1,1997,0,0,2,0,1,1,0,0
17157,2321,0.0,0,18,7,835,1,1,1985,2,0,1,0,1,0,1,2
22091,22491,0.0,1452,2,2,200,1,1,2000,0,0,1,0,1,0,0,2
54144,63368,0.0,0,17,2,766,1,0,2002,0,2,6,0,0,1,0,2
18533,12085,50.0,-20,6,1,20,1,1,2010,1,2,2,0,0,1,0,2
54469,55532,500.0,1826,2,2,150,1,1,1990,0,0,4,0,1,0,2,0
2361,19925,0.0,1633,13,2,768,1,0,1990,4,0,3,0,1,0,0,1
47469,15078,500.0,1322,10,3,156,0,1,2000,0,0,6,0,0,0,0,2
